name,race,alignment
AricSwiftblade,Human,Chaotic-Good
ElenaSwiftstrider,Human,Lawful-Neutral
LiamIronheart,Human,Neutral-Good
NadiaFireforge,Human,Lawful-Evil
EldarionMoonshadow,Human,Chaotic-Neutral
AriaSwiftbrook,Human,Neutral-Evil
SylasStormborn,Human,Chaotic-Neutral
ElaraMoonshadow,Elf,Lawful-Neutral
ThalindraStarfall,Elf,Chaotic-Good
EldrinSwiftleaf,Elf,Neutral-Good
LiraelSilverleaf,Elf,True-Neutral
AelarWindrider,Elf,Lawful-Evil
GromStonefist,Dwarf,Lawful-Good
ThrainIronbeard,Dwarf,Neutral-Good
HildaStoneforge,Dwarf,Lawful-Neutral
BorinFrostbeard,Dwarf,Chaotic-Neutral
GrundinGemcutter,Dwarf,Neutral-Evil
DravenIronheart,Gnome,True-Neutral
FizzlebangTinkertop,Gnome,Chaotic-Good
BilbaCopperclock,Gnome,Neutral-Good
PipWhistlewick,Gnome,Chaotic-Neutral
MimbleQuickfoot,Gnome,Neutral-Evil
SylgarStoutfoot,Halfling,Lawful-Good
TansyGreenhill,Halfling,Neutral-Good
RoscoeHilltopple,Halfling,Chaotic-Good
DaisyBramblefoot,Halfling,Chaotic-Neutral
TobiasUnderhill,Halfling,True-Neutral
ZephyrFrostbloom,Dragonborn,Lawful-Neutral
KharixFlameclaw,Dragonborn,Neutral-Good
DrakarStormsoul,Dragonborn,Lawful-Evil
VexiaDarkscale,Dragonborn,Chaotic-Neutral
KaelaSunwing,Dragonborn,Neutral-Evil
ThaliaEmberforge,Tiefling,Chaotic-Neutral
LuciusShadowflame,Tiefling,Lawful-Evil
SeraphinaHellfire,Tiefling,Chaotic-Good
DamienBloodthorn,Tiefling,Neutral-Good
MorriganAshenclaw,Tiefling,Neutral-Evil
LyriaStarcaster,Aasimar,Lawful-Good
EldricDawnbringer,Aasimar,Lawful-Good
SerafinaRadiance,Aasimar,Neutral-Good
CaelumCelestia,Aasimar,Neutral-Good
AuriusLightbringer,Aasimar,Chaotic-Good
SorenWhitestar,Human,Neutral-Good
EvelynSwiftblade,Human,Chaotic-Good
ThaliaIronheart,Human,Lawful-Neutral
CadenStormborn,Human,Chaotic-Neutral
ElowenMoonshadow,Human,True-Neutral
LegolasSunshard,Elf,Chaotic-Good
NimueStarfall,Elf,Lawful-Neutral
AldarielSwiftleaf,Elf,Neutral-Good
FaelanFrostbloom,Elf,Neutral-Evil
SylindraEmberforge,Elf,Chaotic-Neutral
ThorinIronbeard,Dwarf,Lawful-Good
BalinStonefist,Dwarf,Neutral-Good
GimliCopperbeard,Dwarf,Chaotic-Neutral
DwalinFrostbeard,Dwarf,True-Neutral
OrcusStonebreaker,Dwarf,Lawful-Evil
RorikIronfoot,Half-Orc,Chaotic-Neutral
KarnakBloodaxe,Half-Orc,Neutral-Evil
GrunthokSkullcrusher,Half-Orc,ChaoticEvil
LokarHalfblood,Half-Orc,Lawful-Neutral
YaraHalfthorn,Half-Orc,Lawful-Evil
AelianaHalfmoon,Half-Elf,Chaotic-Good
EldorinGoldleaf,Half-Elf,Neutral-Good
AraniaSilverbrook,Half-Elf,Chaotic-Neutral
ThalorinMoonwhisper,Half-Elf,True-Neutral
LyndriaSnowdancer,Half-Elf,Lawful-Neutral
MephistoNightshade,Tiefling,Chaotic-Neutral
LilithInferno,Tiefling,Lawful-Evil
DamianShadowthorn,Tiefling,Neutral-Good
VesperBloodfire,Tiefling,Chaotic-Good
MalachiHellscream,Tiefling,Neutral-Evil
FizzwizzleGearspark,Gnome,Chaotic-Good
TinkTinkerbell,Gnome,Neutral-Good
BixieSparklebottom,Gnome,True-Neutral
GlimmertopWhizbang,Gnome,Chaotic-Neutral
MimblewickGearsprocket,Gnome,Neutral-Evil
RoscoeUnderhill,Halfling,Lawful-Good
TansyBramblefoot,Halfling,Neutral-Good
WrenWillowbrook,Halfling,Chaotic-Good
DaisyHilltopple,Halfling,Chaotic-Neutral
ThistleBramblebush,Halfling,True-Neutral
SargonFlameclaw,Dragonborn,Lawful-Good
KaelisStormsoul,Dragonborn,Neutral-Good
AzuraDarkscale,Dragonborn,Lawful-Evil
RazorclawThunderstrike,Dragonborn,Chaotic-Neutral
ZephyrWindrider,Dragonborn,Neutral-Evil
SeraphielDawnbringer,Aasimar,Lawful-Good
AureliaLightspark,Aasimar,Neutral-Good
LucanCelestia,Aasimar,Chaotic-Good
IsrafielRadiance,Aasimar,True-Neutral
RaelisStarshower,Aasimar,Chaotic-Neutral
